ruske_slovo,slovenske_slovo,typ
автобус,autobus,ekvivalent
автор,autor,ekvivalent
адрес,adresa,ekvivalent
актёр,herec,ekvivalent
армия,armáda,ekvivalent
банк,banka,ekvivalent
бежать,bežať,ekvivalent
библиотека,knižnica,ekvivalent
билет,lístok,ekvivalent
большой,veľký,ekvivalent
брат,brat,ekvivalent
брать,brať,ekvivalent
быстрый,rýchly,ekvivalent
важный,dôležitý,ekvivalent
ванна,vaňa,ekvivalent
велосипед,bicykel,ekvivalent
ветер,vietor,ekvivalent
вода,voda,ekvivalent
водитель,vodič,ekvivalent
воздух,vzduch,ekvivalent
вопрос,otázka,ekvivalent
врач,lekár,ekvivalent
выбирать,vyberať,ekvivalent
газета,noviny,ekvivalent
гора,hora,ekvivalent
город,mesto,ekvivalent
говорить,hovoriť,ekvivalent
глаз,oko,ekvivalent
грязный,špinavý,ekvivalent
давать,dávať,ekvivalent
дверь,dvere,ekvivalent
деньги,peniaze,ekvivalent
деревня,dedina,ekvivalent
длинный,dlhý,ekvivalent
документ,dokument,ekvivalent
дом,dom,ekvivalent
дорога,cesta,ekvivalent
дождь,dážď,ekvivalent
друг,priateľ,ekvivalent
ждать,čakať,ekvivalent
жить,žiť,ekvivalent
женщина,žena,ekvivalent
звезда,hviezda,ekvivalent
земля,zem,ekvivalent
игра,hra,ekvivalent
идти,ísť,ekvivalent
интересный,zaujímavý,ekvivalent
карта,mapa,ekvivalent
картина,obraz,ekvivalent
картофель,zemiaky,ekvivalent
класс,trieda,ekvivalent
книга,kniha,ekvivalent
комната,izba,ekvivalent
компания,firma,ekvivalent
концерт,koncert,ekvivalent
корабль,loď,ekvivalent
короткий,krátky,ekvivalent
красивый,pekný,ekvivalent
кровь,krv,ekvivalent
крыша,strecha,ekvivalent
кухня,kuchyňa,ekvivalent
лежать,ležať,ekvivalent
лес,les,ekvivalent
лето,leto,ekvivalent
лёгкий,ľahký,ekvivalent
луна,mesiac,ekvivalent
магазин,obchod,ekvivalent
мама,mama,ekvivalent
маленький,malý,ekvivalent
медленный,pomalý,ekvivalent
молоко,mlieko,ekvivalent
море,more,ekvivalent
мост,most,ekvivalent
мужчина,muž,ekvivalent
музей,múzeum,ekvivalent
музыка,hudba,ekvivalent
мясо,mäso,ekvivalent
начинать,začínať,ekvivalent
новый,nový,ekvivalent
ночь,noc,ekvivalent
овощи,zelenina,ekvivalent
огонь,oheň,ekvivalent
окно,okno,ekvivalent
офис,kancelária,ekvivalent
ответ,odpoveď,ekvivalent
парк,park,ekvivalent
папа,otec,ekvivalent
песня,pieseň,ekvivalent
писать,písať,ekvivalent
письмо,list,ekvivalent
план,plán,ekvivalent
площадь,námestie,ekvivalent
покупать,kupovať,ekvivalent
пол,podlaha,ekvivalent
понимать,rozumieť,ekvivalent
помнить,pamätať,ekvivalent
помогать,pomáhať,ekvivalent
поезд,vlak,ekvivalent
правда,pravda,ekvivalent
проект,projekt,ekvivalent
продавать,predávať,ekvivalent
продавец,predavač,ekvivalent
работа,práca,ekvivalent
работать,pracovať,ekvivalent
работник,pracovník,ekvivalent
река,rieka,ekvivalent
решать,riešiť,ekvivalent
рынок,trh,ekvivalent
самолёт,lietadlo,ekvivalent
семья,rodina,ekvivalent
сестра,sestra,ekvivalent
сидеть,sedieť,ekvivalent
сила,sila,ekvivalent
слушать,počúvať,ekvivalent
снег,sneh,ekvivalent
солнце,slnko,ekvivalent
сосед,sused,ekvivalent
спорт,šport,ekvivalent
спортсмен,športovec,ekvivalent
спать,spať,ekvivalent
станция,stanica,ekvivalent
старый,starý,ekvivalent
стена,stena,ekvivalent
стол,stôl,ekvivalent
страна,krajina,ekvivalent
страница,strana,ekvivalent
студент,študent,ekvivalent
счастливый,šťastný,ekvivalent
суп,polievka,ekvivalent
театр,divadlo,ekvivalent
тело,telo,ekvivalent
тёплый,teplý,ekvivalent
трудный,ťažký,ekvivalent
университет,univerzita,ekvivalent
урок,hodina,ekvivalent
фильм,film,ekvivalent
фрукты,ovocie,ekvivalent
хлеб,chlieb,ekvivalent
холодный,studený,ekvivalent
цена,cena,ekvivalent
чай,čaj,ekvivalent
чемодан,kufor,ekvivalent
чистый,čistý,ekvivalent
читать,čítať,ekvivalent
школа,škola,ekvivalent
яблоко,jablko,ekvivalent
язык,jazyk,ekvivalent
одежда,oblečenie,ekvivalent
телефон,telefón,ekvivalent
комедия,komédia,ekvivalent
